cell_id,year,month,ndvi,ndvi_anomaly_z,vci,rainfall_mm,rain_anomaly_z,spi_1,spi_3,spi_6,spi_12,lst_c,lst_anomaly_z,soil_moisture,soil_anomaly_z,date,rain_anomaly_z_lag1,rain_anomaly_z_lag2,spi_1_lag1,spi_1_lag2,spi_3_lag1,spi_3_lag2,soil_anomaly_z_lag1,soil_anomaly_z_lag2,ndvi_anomaly_z_lag1,ndvi_anomaly_z_lag2,drought_class
1,2000,2,0.2401485761479621,-1.3428348678402207,5.92690262319253,9.195523742226994,-0.8444082130020699,-1.1074168657478691,,,,36.54528074866314,1.4200350868753078,0.1711183641015029,-1.6998326285514755,2000-02-01,,,,,,,,,,,
1,2000,3,0.23184238964406656,-1.0930969257749434,12.304872449254637,19.664294681549077,-1.1235730748823174,-1.2156330931195065,-1.7221075879853294,,,38.06017100013852,1.1784234933941051,0.1889487225772388,-2.09201241989803,2000-03-01,-0.8444082130020699,,-1.1074168657478691,,,,-1.6998326285514755,,-1.3428348678402207,,
1,2000,4,0.2811763005562676,-0.8597961239056984,25.267795495683902,74.74634785820456,0.37998000580421365,0.4857129823151146,-0.6398776565319367,,,32.57747139995389,-0.026655900179804348,0.3013058251481715,-0.8071515012323811,2000-04-01,-1.1235730748823174,-0.8444082130020699,-1.2156330931195065,-1.1074168657478691,-1.7221075879853294,,-2.09201241989803,-1.6998326285514755,-1.0930969257749434,-1.3428348678402207,
1,2000,5,0.37762404326615656,0.30458862584657426,47.88600374146429,48.28201962975895,-0.0364771220030289,0.16859953893121235,-0.3957216449203251,,,35.23926152279097,0.37767129008350303,0.272155822996014,-0.3526519139363457,2000-05-01,0.37998000580421365,-1.1235730748823174,0.4857129823151146,-1.2156330931195065,-0.6398776565319367,-1.7221075879853294,-0.8071515012323811,-2.09201241989803,-0.8597961239056984,-1.0930969257749434,
1,2000,6,0.30145279767684197,0.03624559214546323,45.01632132152035,15.089585025450765,-0.7970846103963768,-0.8746919838385655,0.017327723598900138,-1.0963659386107119,,36.36120166709472,0.8319404264770458,0.1732075556830015,-1.0113584075320907,2000-06-01,-0.0364771220030289,0.37998000580421365,0.16859953893121235,0.4857129823151146,-0.3957216449203251,-0.6398776565319367,-0.3526519139363457,-0.8071515012323811,0.30458862584657426,-0.8597961239056984,Moderate
1,2000,7,0.41131893210952863,-0.11447608979502233,50.98381726474469,236.50472021663893,0.33238694127171603,0.4048024762638809,0.23203345130189582,-0.16398062875818023,,25.4266921087148,-0.0431259699345231,0.369241964088598,-0.32109653617670936,2000-07-01,-0.7970846103963768,-0.0364771220030289,-0.8746919838385655,0.16859953893121235,0.017327723598900138,-0.3957216449203251,-1.0113584075320907,-0.3526519139363457,0.03624559214546323,0.30458862584657426,Normal
1,2000,8,0.5838141414445186,0.3001789875357814,64.7226886122393,301.43378937665153,0.31652630384389546,0.398972548059399,0.3589059679957156,0.15800158736885114,,22.454855173869916,-0.643040482143474,0.4621744858696489,0.694694601869709,2000-08-01,0.33238694127171603,-0.7970846103963768,0.4048024762638809,-0.8746919838385655,0.23203345130189582,0.017327723598900138,-0.32109653617670936,-1.0113584075320907,-0.11447608979502233,0.03624559214546323,Normal
1,2000,9,0.5512891510299573,-0.006080990012318543,39.91225341806745,64.13290132634779,0.44430944224224656,0.5036853180270107,0.5009653477525445,0.461116069922063,,25.835778506532478,-0.3467930141586904,0.2953393489041626,-0.4124689587832575,2000-09-01,0.31652630384389546,0.33238694127171603,0.398972548059399,0.4048024762638809,0.3589059679957156,0.23203345130189582,0.694694601869709,-0.32109653617670936,0.3001789875357814,-0.11447608979502233,Normal
1,2000,10,0.4780344546882874,0.4747076932653398,55.301029119637015,98.46822221643784,2.7014745875532986,2.204204560247285,1.103480404256132,0.828729229320387,,27.459020619114273,-0.28617894623926665,0.2591159649480524,1.1869179889433954,2000-10-01,0.44430944224224656,0.31652630384389546,0.5036853180270107,0.398972548059399,0.5009653477525445,0.3589059679957156,-0.4124689587832575,0.694694601869709,-0.006080990012318543,0.3001789875357814,Normal
1,2000,11,0.4200172549135861,0.5618338893492282,55.43978122141715,42.29271501877729,1.512488909238994,1.5738663064361456,2.234889411979059,1.010709028203684,,26.91157030285933,-0.6109165985989641,0.3000481339328011,1.5402294510169272,2000-11-01,2.7014745875532986,0.44430944224224656,2.204204560247285,0.5036853180270107,1.103480404256132,0.5009653477525445,1.1869179889433954,-0.4124689587832575,0.4747076932653398,-0.006080990012318543,Normal
