year,month,ndvi,ndvi_anomaly_z,vci,rainfall_mm,rain_anomaly_z,spi_1,spi_3,spi_6,spi_12,lst_c,lst_anomaly_z,soil_moisture,soil_anomaly_z,soil_percentile,date,rain_anomaly_z_lag1,rain_anomaly_z_lag2,spi_1_lag1,spi_1_lag2,spi_3_lag1,spi_3_lag2,soil_anomaly_z_lag1,soil_anomaly_z_lag2,ndvi_anomaly_z_lag1,ndvi_anomaly_z_lag2,drought_class
2000,2,0.281238141421183,-1.3232465207172304,7.026089434463801,9.494556227401747,-0.9442187516961431,-1.209889019783237,-1.661295029700631,0.5022042143261148,0.27157560174529694,37.27680374775465,1.0887108294887275,0.1684837261420434,-1.4831399003984718,4.0,2000-02-01,,,,,,,,,,,Normal
2000,3,0.26641270987952725,-1.218636151419579,10.449591845730165,17.13730719503815,-1.210085805203831,-1.490833450656948,-2.287162280308702,-0.5975864550858683,0.25158938346338966,40.44008631739359,1.131202282178927,0.17557600369856496,-1.810598802236794,8.0,2000-03-01,-0.9442187516961431,,-1.209889019783237,,-1.661295029700631,,-1.4831399003984718,,-1.3232465207172304,,Normal
2000,4,0.30117227100073296,-0.977903917820161,22.354263068676094,77.13992954690562,-0.04566792929165789,0.11233948610627459,-1.0025801975643798,-1.3693316983774626,0.6007647406366236,38.105683513307476,0.33430406125974854,0.2252649286723411,-1.0484198977461867,20.0,2000-04-01,-1.210085805203831,-0.9442187516961431,-1.490833450656948,-1.209889019783237,-2.287162280308702,-1.661295029700631,-1.810598802236794,-1.4831399003984718,-1.218636151419579,-1.3232465207172304,Moderate
2000,5,0.3561063014184921,-0.04554453415375634,40.622329705225646,58.44258331980632,0.10056722134413602,0.3144780348818664,-0.47835101572291655,-1.000687362084869,0.8524683100702489,40.49467227603784,0.6922167137794735,0.23180753481500807,-0.12986696092032388,60.0,2000-05-01,-0.04566792929165789,-1.210085805203831,0.11233948610627459,-1.490833450656948,-1.0025801975643798,-2.287162280308702,-1.0484198977461867,-1.810598802236794,-0.977903917820161,-1.218636151419579,Moderate
2000,6,0.28660736075671867,-0.24553779534420203,32.52061517741634,10.511141255266693,-0.39707771520317403,-0.2891590683928336,0.06622331104095193,-1.0553468996223643,0.8559455531800085,40.07854503547363,0.9074390631240485,0.16836935141763335,-0.9959258597812222,8.0,2000-06-01,0.10056722134413602,-0.04566792929165789,0.3144780348818664,0.11233948610627459,-0.47835101572291655,-1.0025801975643798,-0.12986696092032388,-1.0484198977461867,-0.04554453415375634,-0.977903917820161,Moderate
2000,7,0.36074012737291883,-0.401460008143758,31.01970432032226,210.07647206285657,0.5730603259966294,0.6261562786810022,0.6356846491827293,-0.16793416650680634,0.6852336246455835,30.07034769594343,-0.2677213797963576,0.2386049787391437,-0.6597701984326173,40.0,2000-07-01,-0.39707771520317403,0.10056722134413602,-0.2891590683928336,0.3144780348818664,0.06622331104095193,-0.47835101572291655,-0.9959258597812222,-0.12986696092032388,-0.24553779534420203,-0.04554453415375634,Normal
2000,8,0.5464261359029159,0.06128936469159535,65.88784148389591,290.75017076429896,0.8942038457009228,0.8809587367174381,0.8215185179978376,0.5609952942300492,0.6336420477042911,26.990941463106395,-0.7060474773080258,0.33908695897939506,0.480991184155356,68.0,2000-08-01,0.5730603259966294,-0.39707771520317403,0.6261562786810022,-0.2891590683928336,0.6356846491827293,0.06622331104095193,-0.6597701984326173,-0.9959258597812222,-0.401460008143758,-0.24553779534420203,Normal
2000,9,0.5697900386462904,0.6214706967962322,73.99521052844,52.87413659687971,0.3401098952239103,0.43931478620119396,0.882180846830837,0.848707062288946,0.5774401191988177,30.911852206307223,-0.19862991926768558,0.2057041634890203,-0.5950998749001437,36.0,2000-09-01,0.8942038457009228,0.5730603259966294,0.8809587367174381,0.6261562786810022,0.8215185179978376,0.6356846491827293,0.480991184155356,-0.6597701984326173,0.06128936469159535,-0.401460008143758,Normal
2000,10,0.5648071055893746,1.6187481071360827,97.21384842918901,103.45013327115115,2.8673361156090826,2.3816491347117137,1.4930979950426508,1.3401013889120752,0.7605060763153693,30.69571283500274,-0.7553692013056861,0.2142945097812772,1.1891203738827663,88.0,2000-10-01,0.3401098952239103,0.8942038457009228,0.43931478620119396,0.8809587367174381,0.882180846830837,0.8215185179978376,-0.5950998749001437,0.480991184155356,0.6214706967962322,0.06128936469159535,Normal
2000,11,0.5475859785303572,2.4652279576962295,100.0,36.32362611340484,1.183081735784499,1.3072569229431208,2.3836353393213408,1.3257249972420397,0.9456758604804041,29.15212556145383,-1.4149220299717413,0.24810558846780156,1.3266828273509863,92.0,2000-11-01,2.8673361156090826,0.3401098952239103,2.3816491347117137,0.43931478620119396,1.4930979950426508,0.882180846830837,1.1891203738827663,-0.5950998749001437,1.6187481071360827,0.6214706967962322,Normal
2000,12,0.4970034452646422,2.230061784047942,90.10280892862164,20.835092147193343,1.0311017170711456,1.174607149210864,2.618650429146412,1.4658333114498872,1.0742002122102963,28.425002845981375,-1.1835964423604755,0.31906630735682956,1.8759558358761224,96.0,2000-12-01,1.183081735784499,2.8673361156090826,1.3072569229431208,2.3816491347117137,2.3836353393213408,1.4930979950426508,1.3266828273509863,1.1891203738827663,2.4652279576962295,1.6187481071360827,Normal
2001,1,0.4732354402592097,2.049707297510351,88.6550212269616,11.431570878712092,-0.8751552516322852,-1.00937014174438,0.8407873937345453,1.683884715817663,1.1197378774248303,29.724028486695907,-0.4820295541560168,0.2789735992469782,0.25822563310732294,68.0,2001-01-01,1.0311017170711456,1.183081735784499,1.174607149210864,1.3072569229431208,2.618650429146412,2.3836353393213408,1.8759558358761224,1.3266828273509863,2.230061784047942,2.4652279576962295,Normal
2001,2,0.4083706421719143,1.5382237158977907,88.41359667271522,16.86888247124322,-0.4897970535459888,-0.4190193544855609,-0.356669795077614,1.9960177479647556,1.1506452340772524,34.66283283232114,0.11460999431272964,0.29997142665442267,0.6887437635158447,76.0,2001-02-01,-0.8751552516322852,1.0311017170711456,-1.00937014174438,1.174607149210864,0.8407873937345453,2.618650429146412,0.25822563310732294,1.8759558358761224,2.049707297510351,2.230061784047942,Normal
